what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1307624356535
started,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1307624356537
started,bundle,org.eclipse.team.core,3.5.100.I20100527-0800,"org.eclipse.team.core",1307624356538
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1307624356539
started,bundle,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui",1307624356540
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1307624356540
started,bundle,org.eclipse.ui.editors,3.6.0.v20100520-0800,"org.eclipse.ui.editors",1307624356541
started,bundle,org.eclipse.ui.forms,3.5.0.v20100427,"org.eclipse.ui.forms",1307624356542
started,bundle,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.ide",1307624356543
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1307624356543
started,bundle,org.eclipse.ui.intro.universal,3.2.400.v20100517,"org.eclipse.ui.intro.universal",1307624356543
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1307624356544
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1307624356544
started,bundle,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"org.eclipse.ui.workbench",1307624356545
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1307624356546
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1307624356546
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1307624356547
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1307624356547
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1307624356548
started,bundle,com.google.appengine.eclipse.core,1.3.3.v201006111317,"com.google.appengine.eclipse.core",1307624356548
started,bundle,com.google.gdt.eclipse.core,1.3.3.v201006111317,"com.google.gdt.eclipse.core",1307624356548
started,bundle,com.google.gdt.eclipse.platform.shared,1.3.3.v201006111317,"com.google.gdt.eclipse.platform.shared",1307624356548
started,bundle,com.google.gdt.eclipse.suite,1.3.3.v201006111317,"com.google.gdt.eclipse.suite",1307624356548
started,bundle,com.google.gwt.eclipse.core,1.3.3.v201006111317,"com.google.gwt.eclipse.core",1307624356549
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1307624356552
started,bundle,org.eclipse.wst.jsdt.core,1.1.2.v201009011528,"org.eclipse.wst.jsdt.core",1307624356553
started,bundle,org.eclipse.wst.jsdt.ui,1.1.2.v201009010353,"org.eclipse.wst.jsdt.ui",1307624356556
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1307624356556
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1307624356557
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1307624356557
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1307624356558
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1307624356558
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1307624356559
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1307624356559
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1307624356559
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1307624356560
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1307624356561
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1307624356561
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1307624356562
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1307624356562
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1307624356563
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1307624356564
os,sysinfo,,,"linux",1307624356567
arch,sysinfo,,,"x86",1307624356567
ws,sysinfo,,,"gtk",1307624356567
locale,sysinfo,,,"en_US",1307624356567
processors,sysinfo,,,"2",1307624356568
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1307624356568
java.runtime.version,sysinfo,,,"1.6.0_20-b20",1307624356568
java.specification.name,sysinfo,,,"Java Platform API Specification",1307624356568
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624356568
java.specification.version,sysinfo,,,"1.6",1307624356568
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624356568
java.version,sysinfo,,,"1.6.0_20",1307624356568
java.vm.info,sysinfo,,,"mixed mode, sharing",1307624356568
java.vm.name,sysinfo,,,"OpenJDK Client VM",1307624356568
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1307624356568
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624356568
java.vm.specification.version,sysinfo,,,"1.0",1307624356568
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1307624356568
java.vm.version,sysinfo,,,"19.0-b09",1307624356568
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1307624360926
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1307624361587
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1307624361755
stopped,bundle,org.zend.php.debug.debugger,5.3.18.v20100603,"org.zend.php.debug.debugger",1307624361755
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1307624361756
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1307624361757
